"number" "activity" "result"
1 walking 0.276336875325203
1 walking -0.0179068331339779
1 walking -0.108881687638618
1 walking -0.314644454310285
1 walking -0.0235829464260859
1 walking -0.2739207990668
1 walking 0.93499157825784
1 walking -0.196713497359117
1 walking -0.0538251249015482
1 walking -0.977612074494773
1 walking -0.966903875917538
1 walking -0.954597565156794
1 walking 0.0767187377408595
1 walking 0.0115061924659823
1 walking -0.00231938614930952
1 walking -0.267288163330981
1 walking -0.103141139217389
1 walking -0.479147120981986
1 walking -0.0347275766522822
1 walking -0.0694200436104837
1 walking 0.0863626487285566
1 walking -0.469914839340418
1 walking -0.347921806314175
1 walking -0.338448612532172
1 walking -0.0943007119992102
1 walking -0.0445701108594715
1 walking -0.0540064674427816
1 walking -0.37622140274036
1 walking -0.512619067859872
1 walking -0.447427245411672
1 walking -0.167937853979757
1 walking -0.33775398556687
1 walking -0.167937853979757
1 walking -0.33775398556687
1 walking -0.241451989838379
1 walking -0.214555894362491
1 walking -0.274866019270244
1 walking -0.382629015979094
1 walking -0.460511516745528
1 walking -0.498841024689745
1 walking -0.297890931822619
1 walking -0.0423392245272938
1 walking -0.341840674953966
1 walking -0.322835798362427
1 walking -0.0772063416317422
1 walking -0.296078309260848
1 walking -0.28685827761899
1 walking 0.0518636618040337
1 walking 0.0749560748261487
1 walking -0.31112743843018
1 walking -0.170395065771795
1 walking -0.451010514389593
1 walking -0.287897688500499
1 walking -0.0908699078702335
1 walking -0.506329080412654
1 walking -0.258388290587468
1 walking -0.354659109992689
1 walking -0.24068649680518
1 walking -0.348237370890012
1 walking -0.388384886139303
1 walking -0.310406242610407
1 walking -0.510431986710081
1 walking -0.331961524686347
1 walking -0.410569112536585
1 walking -0.0677418230563182
1 walking -0.0984530711444367
1 walking -0.0721787297258188
1 walking -0.275558097404657
1 walking -0.480002278144599
1 walking 0.184417205519328
1 walking -0.214653971925401
1 walking -0.221617770280105
1 walking 0.0773140386701899
1 walking -0.409173038476359
1 walking -0.47383309359518
1 walking 0.163203814253339
1 walking -0.515516844208937
1 walking -0.514404823691173
1 walking 0.130805801208583
2 walk-upstair 0.26229464948342
2 walk-upstair -0.0259232890342181
2 walk-upstair -0.120537934670272
2 walk-upstair -0.237989747950635
2 walk-upstair -0.0160325123253303
2 walk-upstair -0.175449700484728
2 walk-upstair 0.875003375958549
2 walk-upstair -0.281377193548575
2 walk-upstair -0.14079566587547
2 walk-upstair -0.948191332253886
2 walk-upstair -0.925549271962435
2 walk-upstair -0.901905618180052
2 walk-upstair 0.0767293215286917
2 walk-upstair 0.00875888964679404
2 walk-upstair -0.00600953398545337
2 walk-upstair -0.360863432417876
2 walk-upstair -0.339226496686328
2 walk-upstair -0.627063649764249
2 walk-upstair 0.00682449600215674
2 walk-upstair -0.0885225289752966
2 walk-upstair 0.0598938080367487
2 walk-upstair -0.46760713827921
2 walk-upstair -0.344231806672079
2 walk-upstair -0.237136760675842
2 walk-upstair -0.112117464583562
2 walk-upstair -0.0386192672141386
2 walk-upstair -0.0525810278118912
2 walk-upstair -0.553132758357837
2 walk-upstair -0.667339157124352
2 walk-upstair -0.560989210937073
2 walk-upstair -0.100204123946392
2 walk-upstair -0.249875157023391
2 walk-upstair -0.100204123946392
2 walk-upstair -0.249875157023391
2 walk-upstair -0.390938624541516
2 walk-upstair -0.385400351575259
2 walk-upstair -0.178281147518361
2 walk-upstair -0.337142124176179
2 walk-upstair -0.608047148013666
2 walk-upstair -0.666836734071891
2 walk-upstair -0.293406752279022
2 walk-upstair -0.134950514403271
2 walk-upstair -0.368122061042293
2 walk-upstair -0.218887990072578
2 walk-upstair -0.0218110366534067
2 walk-upstair -0.146601790497137
2 walk-upstair -0.436683976651101
2 walk-upstair -0.169851327169637
2 walk-upstair -0.265200271104081
2 walk-upstair -0.389896773119819
2 walk-upstair -0.364666839787014
2 walk-upstair -0.591670061637306
2 walk-upstair -0.388992761276127
2 walk-upstair -0.357632925658886
2 walk-upstair -0.661590843134715
2 walk-upstair -0.339080440587254
2 walk-upstair -0.452501330578951
2 walk-upstair -0.44116273987351
2 walk-upstair -0.394248174023122
2 walk-upstair -0.45925346898967
2 walk-upstair -0.296857721646179
2 walk-upstair -0.49525397668763
2 walk-upstair -0.29318182767215
2 walk-upstair -0.292041341940868
2 walk-upstair -0.212837257343873
2 walk-upstair -0.319518692055149
2 walk-upstair -0.26034110185728
2 walk-upstair -0.26202811322658
2 walk-upstair -0.361753456901554
2 walk-upstair -0.0532170060678109
2 walk-upstair -0.353961999926425
2 walk-upstair -0.434206731972435
2 walk-upstair 0.0628726058822474
2 walk-upstair -0.449781382648834
2 walk-upstair -0.381406363802979
2 walk-upstair -0.168707548570072
2 walk-upstair -0.658694456439443
2 walk-upstair -0.703083532121114
2 walk-upstair 0.094112452115136
3 wlk-downstair 0.288137227760313
3 wlk-downstair -0.0163119254923574
3 wlk-downstair -0.105761624860013
3 wlk-downstair 0.100766330932127
3 wlk-downstair 0.0595486228783642
3 wlk-downstair -0.190804507442162
3 wlk-downstair 0.926457404928876
3 wlk-downstair -0.168507222023357
3 wlk-downstair -0.0479709004743904
3 wlk-downstair -0.949748838733997
3 wlk-downstair -0.934266078534851
3 wlk-downstair -0.912460554516358
3 wlk-downstair 0.0892266917679481
3 wlk-downstair 0.000746749097403983
3 wlk-downstair -0.00872860399406828
3 wlk-downstair -0.0338826468930654
3 wlk-downstair -0.0736744063550434
3 wlk-downstair -0.388666069444772
3 wlk-downstair -0.0840345434632895
3 wlk-downstair -0.0529928638977233
3 wlk-downstair 0.0946781961059175
3 wlk-downstair -0.333817475057255
3 wlk-downstair -0.339631376954339
3 wlk-downstair -0.272809910672304
3 wlk-downstair -0.0728532273938407
3 wlk-downstair -0.051263979292845
3 wlk-downstair -0.0546961525371337
3 wlk-downstair -0.38268977198606
3 wlk-downstair -0.465943810555121
3 wlk-downstair -0.326455992480064
3 wlk-downstair 0.101249699851558
3 wlk-downstair 0.116488914352198
3 wlk-downstair 0.101249699851558
3 wlk-downstair 0.116488914352198
3 wlk-downstair -0.111801821250135
3 wlk-downstair -0.011220665881458
3 wlk-downstair -0.129785639782795
3 wlk-downstair -0.251427800988919
3 wlk-downstair -0.416891551237909
3 wlk-downstair -0.440929331631124
3 wlk-downstair 0.035259668648926
3 wlk-downstair 0.0566826541965861
3 wlk-downstair -0.21372923278293
3 wlk-downstair 0.121937984843535
3 wlk-downstair -0.0082336714233357
3 wlk-downstair -0.245872896782916
3 wlk-downstair -0.400019573396373
3 wlk-downstair 0.000603134408748222
3 wlk-downstair 0.0924263373459659
3 wlk-downstair -0.0722967761178656
3 wlk-downstair -0.116380593184566
3 wlk-downstair -0.333190280461238
3 wlk-downstair -0.0821905158144886
3 wlk-downstair -0.091416460479564
3 wlk-downstair -0.443554664639787
3 wlk-downstair -0.314941325453129
3 wlk-downstair -0.386044309466579
3 wlk-downstair -0.23740280265473
3 wlk-downstair -0.217922875601003
3 wlk-downstair -0.317592694113158
3 wlk-downstair -0.16562514453862
3 wlk-downstair -0.375127467913848
3 wlk-downstair -0.36185368284522
3 wlk-downstair -0.38040999928478
3 wlk-downstair -0.170016349676807
3 wlk-downstair -0.0440853930714011
3 wlk-downstair -0.0187917610518457
3 wlk-downstair 0.142849426284481
3 wlk-downstair -0.0754251669550853
3 wlk-downstair 0.0250364653867319
3 wlk-downstair 0.00476245916278094
3 wlk-downstair -0.0422714225290824
3 wlk-downstair 0.0200704059537717
3 wlk-downstair -0.289525832505356
3 wlk-downstair -0.361230992213905
3 wlk-downstair 0.0671727851545073
3 wlk-downstair -0.438007290282333
3 wlk-downstair -0.486442976081671
3 wlk-downstair 0.0957588246085356
4 sitting 0.273059614418965
4 sitting -0.0126895730832639
4 sitting -0.105517003220878
4 sitting -0.983446221750141
4 sitting -0.934880562895515
4 sitting -0.938981580616207
4 sitting 0.879731193472144
4 sitting 0.108713540331707
4 sitting 0.153774088505577
4 sitting -0.979682230393922
4 sitting -0.957672740350591
4 sitting -0.947357438593134
4 sitting 0.0758788492274395
4 sitting 0.00504690529678683
4 sitting -0.0024866605775919
4 sitting -0.984997226336522
4 sitting -0.973883160517726
4 sitting -0.982296486972425
4 sitting -0.0384313168439482
4 sitting -0.0721208098964153
4 sitting 0.0777771461510523
4 sitting -0.981022213218908
4 sitting -0.966708127310073
4 sitting -0.958007496724817
4 sitting -0.0956521058184581
4 sitting -0.040779780524009
4 sitting -0.0507555280236061
4 sitting -0.985705127658976
4 sitting -0.986502338745076
4 sitting -0.983805514068655
4 sitting -0.95464392144063
4 sitting -0.939324188353517
4 sitting -0.95464392144063
4 sitting -0.939324188353517
4 sitting -0.98244444337085
4 sitting -0.978907079240293
4 sitting -0.946724138930782
4 sitting -0.951199015615082
4 sitting -0.987880071435003
4 sitting -0.98460762855937
4 sitting -0.983091966702307
4 sitting -0.947917966193585
4 sitting -0.957031035425999
4 sitting -0.983747266764209
4 sitting -0.932533490271469
4 sitting -0.934336687975915
4 sitting -0.0426402475024423
4 sitting 0.0653031714930951
4 sitting 0.0802983762109857
4 sitting -0.985188769302195
4 sitting -0.973988189836804
4 sitting -0.97956197226224
4 sitting -0.98618495368036
4 sitting -0.975750855391109
4 sitting -0.983670821046708
4 sitting 0.185014353841248
4 sitting -0.0583108773539561
4 sitting 0.00299622469976759
4 sitting -0.977267261395611
4 sitting -0.972457592965672
4 sitting -0.961028716797974
4 sitting -0.982333273978616
4 sitting -0.964033658897017
4 sitting -0.961030235486775
4 sitting 0.0625911646973101
4 sitting -0.218028334561964
4 sitting -0.0126999936364434
4 sitting -0.952410413225098
4 sitting -0.942000150701182
4 sitting 0.114105393420517
4 sitting -0.978684370388295
4 sitting -0.978154770658413
4 sitting 0.281460817910214
4 sitting -0.964296113911086
4 sitting -0.951641735873945
4 sitting -0.076439552620045
4 sitting -0.985335632976927
4 sitting -0.984491355740011
4 sitting 0.177738590515189
5 standing 0.279153494050367
5 standing -0.016151886473745
5 standing -0.106586908690788
5 standing -0.98443471156873
5 standing -0.932508714024134
5 standing -0.939913504673138
5 standing 0.941479635262329
5 standing -0.18424651390288
5 standing -0.0140519613122015
5 standing -0.988015176652676
5 standing -0.969351769994753
5 standing -0.953082525826338
5 standing 0.0750279173525708
5 standing 0.00880525863452886
5 standing -0.00458206132902833
5 standing -0.97996855569255
5 standing -0.964342752203568
5 standing -0.979485931469045
5 standing -0.0266871408413746
5 standing -0.0677118654705719
5 standing 0.0801422394994229
5 standing -0.94552836296957
5 standing -0.961293278672613
5 standing -0.957053051274921
5 standing -0.0997292806919727
5 standing -0.0423171100101784
5 standing -0.052095548445404
5 standing -0.966957942859391
5 standing -0.980263299260231
5 standing -0.977067117235047
5 standing -0.954179661789087
5 standing -0.946534779481637
5 standing -0.954179661789087
5 standing -0.946534779481637
5 standing -0.97711802452256
5 standing -0.971452977271773
5 standing -0.942152523158447
5 standing -0.929531182355719
5 standing -0.978697092402938
5 standing -0.973528580524659
5 standing -0.98162230498426
5 standing -0.943132376852046
5 standing -0.957359650828961
5 standing -0.985859786930745
5 standing -0.931132967334732
5 standing -0.935439598488982
5 standing 0.0155958491724008
5 standing -0.0332741191101417
5 standing 0.0524670025367366
5 standing -0.980008693961175
5 standing -0.96454742224554
5 standing -0.976157838746065
5 standing -0.981826075755509
5 standing -0.966831630482686
5 standing -0.981509250650577
5 standing 0.202899961364448
5 standing -0.131892581837775
5 standing 0.00670022889249738
5 standing -0.943654258352571
5 standing -0.965302753756558
5 standing -0.958384988536201
5 standing -0.946971557429171
5 standing -0.959498600608604
5 standing -0.960689223903463
5 standing -0.227494715950519
5 standing -0.216012369878284
5 standing -0.0914293859460278
5 standing -0.955868098520462
5 standing -0.949601613473977
5 standing 0.0484947368601238
5 standing -0.971090423866737
5 standing -0.970947966726128
5 standing 0.251268415000934
5 standing -0.94790849906086
5 standing -0.93063670339979
5 standing -0.183705132389758
5 standing -0.974885979685205
5 standing -0.973461064197272
5 standing 0.0848650395195068
6 laying 0.268648643296245
6 laying -0.0183177280685082
6 laying -0.107435631519084
6 laying -0.960932405036523
6 laying -0.943507185574074
6 laying -0.948069300024897
6 laying -0.375021333827161
6 laying 0.622270362899691
6 laying 0.55561247407572
6 laying -0.943319727953189
6 laying -0.963191706084414
6 laying -0.951868724368827
6 laying 0.0818473898341049
6 laying 0.0111723565401199
6 laying -0.00485976942268338
6 laying -0.980381808513375
6 laying -0.971147567757202
6 laying -0.979476595910494
6 laying -0.0167253403420918
6 laying -0.0934107103603086
6 laying 0.125885141252623
6 laying -0.967892432932613
6 laying -0.963192469243827
6 laying -0.963509228024691
6 laying -0.101864299363374
6 laying -0.038198085408019
6 laying -0.0638498197415123
6 laying -0.976124813760288
6 laying -0.980473581049383
6 laying -0.984782526095679
6 laying -0.941110656500514
6 laying -0.932160020511831
6 laying -0.941110656500514
6 laying -0.932160020511831
6 laying -0.97920875497428
6 laying -0.974240573559671
6 laying -0.938435972026749
6 laying -0.940596109587449
6 laying -0.982726626075103
6 laying -0.976754966054527
6 laying -0.966812071347737
6 laying -0.952678416904835
6 laying -0.960018019984568
6 laying -0.959031456047479
6 laying -0.942460971074588
6 laying -0.945643635450566
6 laying -0.259376067222388
6 laying 0.143045583957866
6 laying 0.20318696277
6 laying -0.980197655180041
6 laying -0.971383628894033
6 laying -0.976614530180041
6 laying -0.982459599243827
6 laying -0.973051242896091
6 laying -0.980971915740741
6 laying 0.105178707989746
6 laying 0.00485365387352315
6 laying 0.0699619900375761
6 laying -0.962915035776389
6 laying -0.967582058544239
6 laying -0.964184423173868
6 laying -0.96974730340535
6 laying -0.961365374902263
6 laying -0.966725247165638
6 laying -0.0174605087394012
6 laying -0.139337310710561
6 laying 0.11328010251823
6 laying -0.94767271172428
6 laying -0.934916672889661
6 laying 0.116228984859398
6 laying -0.974300115365226
6 laying -0.97318339962963
6 laying 0.281115014821636
6 laying -0.95485445779321
6 laying -0.942115714415638
6 laying -0.0293652946094444
6 laying -0.977968240452675
6 laying -0.976648216795267
6 laying 0.165728127309943
